"id"	"packs"
"Transcript_258855.0"	"EBSeq,edgeR,DESeq2"
"Transcript_259525.0"	"EBSeq,edgeR,DESeq2"
"Transcript_259897.0"	"DESeq,edgeR,DESeq2"
"Transcript_260030.0"	"EBSeq,edgeR,DESeq2"
"Transcript_26010.0"	"DESeq,edgeR,DESeq2"
"Transcript_260571.0"	"EBSeq,edgeR,DESeq2"
"Transcript_260984.0"	"DESeq,edgeR,DESeq2"
"Transcript_261407.0"	"EBSeq,edgeR,DESeq2"
"Transcript_261601.0"	"EBSeq,edgeR,DESeq2"
"Transcript_26183.0"	"DESeq,edgeR,DESeq2"
"Transcript_261990.0"	"EBSeq,edgeR,DESeq2"
"Transcript_262413.0"	"EBSeq,edgeR,DESeq2"
"Transcript_262811.0"	"EBSeq,edgeR,DESeq2"
"Transcript_263150.0"	"EBSeq,edgeR,DESeq2"
"Transcript_263391.0"	"EBSeq,edgeR,DESeq2"
"Transcript_263479.0"	"EBSeq,edgeR,DESeq2"
"Transcript_263609.0"	"DESeq,edgeR,DESeq2"
"Transcript_263740.0"	"DESeq,edgeR,DESeq2"
"Transcript_264097.0"	"DESeq,edgeR,DESeq2"
"Transcript_265743.0"	"EBSeq,edgeR,DESeq2"
"Transcript_266332.0"	"EBSeq,edgeR,DESeq2"
"Transcript_266554.0"	"EBSeq,edgeR,DESeq2"
"Transcript_266638.0"	"DESeq,edgeR,DESeq2"
"Transcript_26693.0"	"EBSeq,edgeR,DESeq2"
"Transcript_26700.0"	"EBSeq,edgeR,DESeq2"
"Transcript_267029.0"	"DESeq,edgeR,DESeq2"
"Transcript_267493.0"	"EBSeq,edgeR,DESeq2"
"Transcript_267593.0"	"EBSeq,edgeR,DESeq2"
"Transcript_267869.0"	"DESeq,edgeR,DESeq2"
"Transcript_26792.0"	"DESeq,edgeR,DESeq2"
"Transcript_26797.0"	"EBSeq,edgeR,DESeq2"
"Transcript_268282.0"	"DESeq,edgeR,DESeq2"
"Transcript_269011.0"	"EBSeq,edgeR,DESeq2"
"Transcript_269225.0"	"DESeq,edgeR,DESeq2"
"Transcript_26931.0"	"EBSeq,edgeR,DESeq2"
"Transcript_270253.0"	"EBSeq,edgeR,DESeq2"
"Transcript_27074.0"	"EBSeq,edgeR,DESeq2"
"Transcript_270771.0"	"DESeq,edgeR,DESeq2"
"Transcript_271356.0"	"EBSeq,edgeR,DESeq2"
"Transcript_2715.0"	"DESeq,edgeR,DESeq2"
"Transcript_271533.0"	"EBSeq,edgeR,DESeq2"
"Transcript_27160.0"	"EBSeq,edgeR,DESeq2"
"Transcript_271705.0"	"EBSeq,edgeR,DESeq2"
"Transcript_27193.0"	"DESeq,edgeR,DESeq2"
"Transcript_272233.0"	"DESeq,edgeR,DESeq2"
"Transcript_272313.0"	"EBSeq,edgeR,DESeq2"
"Transcript_272422.0"	"EBSeq,edgeR,DESeq2"
"Transcript_272595.0"	"DESeq,edgeR,DESeq2"
"Transcript_272663.0"	"EBSeq,edgeR,DESeq2"
