"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"Transcript_145240.0"	0.262709809789714	0	0.525419619579428	Inf	Inf	0.00887266456925744	0.323154692393743
"Transcript_145312.0"	0.452819775332458	0	0.905639550664916	Inf	Inf	0.00364178895677116	0.215320019122768
"Transcript_145326.0"	0.471617146498022	0.943234292996044	0	0	-Inf	0.0440135902786818	0.570764420781437
"Transcript_145411.0"	1.33966655865706	0	2.67933311731412	Inf	Inf	0.0395435393614972	0.554443026792109
"Transcript_145497.0"	0.0961722707393076	0.192344541478615	0	0	-Inf	0.0489489108969482	0.578444056540221
"Transcript_145512.0"	0.30525958770406	0.61051917540812	0	0	-Inf	0.000187418554043067	0.0682180272438673
"Transcript_145519.0"	0.160287117898846	0.320574235797692	0	0	-Inf	0.00412621380626716	0.215320019122768
"Transcript_145600.0"	0.712408587099078	0	1.42481717419816	Inf	Inf	0.0223547298607265	0.421638841100191
"Transcript_145603.0"	0.230662634008151	0.361756945929963	0.0995683220863389	0.275235412081392	-1.86126199422417	0.0447101982326652	0.573076782204851
"Transcript_145714.0"	0.343815679601981	0.480861353696538	0.206770005507423	0.429999216859319	-1.21759406259404	0.0187668591460776	0.411952104390899
"Transcript_145757.0"	0.112200982529192	0.224401965058385	0	0	-Inf	0.0263751663240365	0.431260462310599
